"","genes_core"
"557","group_3085"
"558","group_3095"
"559","group_3102"
"560","group_3126"
"561","group_3128"
"562","group_3246"
"563","group_3287"
"564","group_3298"
"565","group_3301"
"566","group_332"
"567","group_3322"
"568","group_3335"
"569","group_3353"
"570","group_3354"
"571","group_3403"
"572","group_3409"
"573","group_3411"
"574","group_3414"
"575","group_3419"
"576","group_3421"
"577","group_3433"
"578","group_3439"
"579","group_3490"
"580","group_3520"
"581","group_3543"
"582","group_3549"
"583","group_3559"
"584","group_3585"
"585","group_3597"
"586","group_3616"
"587","group_3632"
"588","group_3663"
"589","group_3833"
"590","group_3861"
"591","group_3874"
"592","group_3884"
"593","group_3888"
"594","group_3914"
"595","group_3917"
"596","group_3928"
"597","group_394"
"598","group_3941"
"599","group_3945"
"600","group_3948"
"601","group_3949"
"602","group_3950"
"603","group_3961"
"604","group_3962"
"605","group_3991"
"606","group_3993"
"607","group_3994"
"608","group_3997"
"609","group_4072"
"610","group_4078"
"611","group_4097"
"612","group_4135"
"613","group_4156"
"614","group_4161"
"615","group_4202"
"616","group_4203"
"617","group_4266"
"618","group_4267"
"619","group_4268"
"620","group_4294"
"621","group_4336"
"622","group_4341"
"623","group_4350"
"624","group_4388"
"625","group_4531"
"626","group_4534"
"627","group_4589"
"628","group_4590"
"629","group_4594"
"630","group_4642"
"631","group_4672"
"632","group_4679"
"633","group_4685"
"634","group_4693"
"635","group_4715"
"636","group_4739"
"637","group_4760"
"638","group_4771"
"639","group_4772"
"640","group_4781"
"641","group_4792"
"642","group_4834"
"643","group_484"
"644","group_4861"
"645","group_4895"
"646","group_4897"
"647","group_4901"
"648","group_4904"
"649","group_4907"
"650","group_4909"
"651","group_4938"
"652","group_4939"
"653","group_4948"
"654","group_4958"
"655","group_4970"
"656","group_4979"
"657","group_5005"
"658","group_5009"
"659","group_5013"
"660","group_506"
"661","group_507"
"662","group_5097"
"663","group_5098"
"664","group_5104"
"665","group_5105"
"666","group_5145"
"667","group_5192"
"668","group_5219"
"669","group_5220"
"670","group_5248"
"671","group_5371"
"672","group_5373"
"673","group_5378"
"674","group_5381"
"675","group_5420"
"676","group_5461"
"677","group_5462"
"678","group_5480"
"679","group_5497"
"680","group_5526"
"681","group_5540"
"682","group_5541"
"683","group_5554"
"684","group_5573"
"685","group_5574"
"686","group_5577"
"687","group_5611"
"688","group_5619"
"689","group_5628"
"690","group_5645"
"691","group_5653"
"692","group_5658"
"693","group_5659"
"694","group_5664"
"695","group_5690"
"696","group_5709"
"697","group_5710"
"698","group_5720"
"699","group_5729"
"700","group_573"
"701","group_5742"
"702","group_5755"
"703","group_5761"
"704","group_5795"
"705","group_5799"
"706","group_5823"
"707","group_5828"
"708","group_5833"
"709","group_5867"
"710","group_5875"
"711","group_5896"
"712","group_5900"
"713","group_5902"
"714","group_5911"
"715","group_5913"
"716","group_5924"
"717","group_5927"
"718","group_5934"
"719","group_5943"
"720","group_5951"
"721","group_5973"
"722","group_5976"
"723","group_6013"
"724","group_6034"
"725","group_6046"
"726","group_6059"
"727","group_6077"
"728","group_6079"
"729","group_6080"
"730","group_6081"
"731","group_6082"
"732","group_6099"
"733","group_6101"
"734","group_6114"
"735","group_6128"
"736","group_6180"
"737","group_6204"
"738","group_6214"
"739","group_6295"
"740","group_6424"
"741","group_6429"
"742","group_6437"
"743","group_6439"
"744","group_6446"
"745","group_6454"
"746","group_6457"
"747","group_6469"
"748","group_6472"
"749","group_6537"
"750","group_6540"
"751","group_6544"
"752","group_6553"
"753","group_6555"
"754","group_6563"
"755","group_657"
"756","group_6598"
"757","group_6617"
"758","group_6622"
"759","group_6636"
"760","group_6637"
"761","group_664"
"762","group_6646"
"763","group_6671"
"764","group_6684"
"765","group_6697"
"766","group_6700"
"767","group_6704"
"768","group_6711"
"769","group_6716"
"770","group_6721"
"771","group_6736"
"772","group_6740"
"773","group_6749"
"774","group_6763"
"775","group_6803"
"776","group_6820"
"777","group_6825"
"778","group_6826"
"779","group_6828"
"780","group_6850"
"781","group_6864"
"782","group_6869"
"783","group_6873"
"784","group_6887"
"785","group_6897"
"786","group_6898"
"787","group_6899"
"788","group_6907"
"789","group_6909"
"790","group_6911"
"791","group_6914"
"792","group_6917"
"793","group_6919"
"794","group_6950"
"795","group_6956"
"796","group_6963"
"797","group_6986"
"798","group_7005"
"799","group_7006"
"800","group_7011"
"801","group_7018"
"802","group_7028"
"803","group_7030"
"804","group_7046"
"805","group_7059"
"806","group_7071"
"807","group_7072"
"808","group_7096"
"809","group_7105"
"810","group_712"
"811","group_7132"
"812","group_7156"
"813","group_7170"
"814","group_7174"
"815","group_7186"
"816","group_7210"
"817","group_7233"
"818","group_725"
"819","group_7265"
"820","group_7276"
"821","group_732"
"822","group_7405"
"823","group_7410"
"824","group_7414"
"825","group_7445"
"826","group_7479"
"827","group_7582"
"828","group_7584"
"829","group_7596"
"830","group_7602"
"831","group_7604"
"832","group_7607"
"833","group_7627"
"834","group_7705"
"835","group_7726"
"836","group_7735"
"837","group_7752"
"838","group_7755"
"839","group_7756"
"840","group_7769"
"841","group_7785"
"842","group_7791"
